66605,Tofama
66704,Sczanieckiego
66801,Urząd Celny nż.
66902,Urząd Celny nż.
67104,Dworzec Autobusowy
67201,Ślaskiego
67303,Starotoruńska
67404,Lisia nż.
67502,Gałczyńskiego nż.
67602,Balladyny nż.
67703,Drwęca nż.
67801,Poznańska-osiedle
67902,Poznańska-osiedle
68101,Przysiecka nż.
68202,Przysiecka nż.
68301,Katarzynka PKP nż.
68401,Rybińskiego
68502,STROBANDA
68603,Hallera
68704,Hallera
69001,Targowisko
69105,Koniuchy
69201,Przelot nż
69302,Przelot nż
69401,Gminna nż
69503,Targowisko
69604,Targowisko
69703,Bema
69804,Bema
69905,Wybickiego
70002,Brzozówka nż.
70101,Brzozówka nż.
70202,Głogowo nż.
70301,Głogowo nż.
70402,Dobrzejewice nż.
70501,Dobrzejewice nż.
70602,Zawały I nż.
70701,Zawały I nż.
70802,Kawęczyn nż.
70901,Kawęczyn nż.
71001,OBROWO
71101,Obrowo-Osiedle nż.
71202,Obrowo-Osiedle nż.
71301,Kolonia Obrowska nż.
71402,Kolonia Obrowska nż.
71501,Sąsieczno nż.
71602,Sąsieczno nż.
71701,Heweliusza
71802,Heweliusza
71901,Osiek-Siciny II nż.
72002,Osiek-Siciny II nż.
72101,Osiek-Szkoła nż.
72202,Osiek-Szkoła nż.
72301,Osiek nż.
72402,Osiek nż.
72501,Dzikowo skrz. nż.
72602,Dzikowo skrz. nż.
72701,Dzikowo nż.
72802,Dzikowo nż.
72901,Silno IV nż.
73002,Silno IV nż.
73101,Silno III nż.
73202,Silno III nż.
73301,Silno II nż.
73402,Silno II nż.
73501,Silno I nż.
73602,Silno I nż.
73701,Grabowiec-Wieś nż.
73802,Grabowiec-Wieś nż.
73901,Grabowiec II nż.
74002,Grabowiec II nż.
74102,Grabowiec I nż.
74201,Grabowiec I nż.
74301,Złotoria I nż.
74402,Złotoria I nż.
74503,Złotoria - Pomorska nż.
74604,Lubicz Górny
76101,Przysiek n/ż
76201,Rozgarty n/ż
